Fecha;CCAA;cod_ine;CasosAcc;IngresadosAcc;UCIAcc;FallecidosAcc;PCRDia;Ingresados;UCI;PorcenCamas;Ingresos24h;Altas24h;PorcenUCI
2020-08-12;Navarra;15;7713;2127;144;531
2020-08-12;País Vasco;16;19009;7039;582;1553
2020-08-12;La Rioja;17;4333;1497;91;366
2020-08-13;Andalucía;01;18501;6637;819;1445
2020-08-13;Aragón;02;19845;3677;321;992
2020-08-13;Asturias;03;2764;1125;130;334
2020-08-13;Baleares;04;4044;1226;175;225
2020-08-13;Canarias;05;3208;1010;190;164
2020-08-13;Cantabria;06;2869;1099;86;220
2020-08-13;Castilla La Mancha;08;19707;9510;671;3037
2020-08-13;Castilla y León;07;22391;8967;639;2804
2020-08-13;Cataluña;09;90890;29860;3024;5709
2020-08-13;Ceuta;18;169;16;4;4
2020-08-13;Comunidad Valenciana;10;16292;6123;763;1442
2020-08-13;Extremadura;11;3722;1803;143;522
2020-08-13;Galicia;12;10605;3023;342;622
2020-08-13;Madrid;13;86752;43371;3675;8471
2020-08-13;Melilla;19;183;49;3;2
2020-08-13;Murcia;14;3224;788;123;149
2020-08-13;Navarra;15;7795;2129;144;531
2020-08-13;País Vasco;16;19994;7098;583;1566
2020-08-13;La Rioja;17;4379;1498;91;366
2020-08-14;Andalucía;01;18937;6664;819;1445
2020-08-14;Aragón;02;20353;3700;321;992
2020-08-14;Asturias;03;2785;1125;130;334
2020-08-14;Baleares;04;4178;1232;175;225
2020-08-14;Canarias;05;3323;1012;190;164
2020-08-14;Cantabria;06;2930;1104;86;220
2020-08-14;Castilla La Mancha;08;19875;9510;670;3037
2020-08-14;Castilla y León;07;22670;8985;640;2804
2020-08-14;Cataluña;09;91982;29882;3026;5709
2020-08-14;Ceuta;18;171;17;4;4
2020-08-14;Comunidad Valenciana;10;16777;6146;765;1442
2020-08-14;Extremadura;11;3789;1808;143;522
2020-08-14;Galicia;12;10741;3026;342;623
2020-08-14;Madrid;13;87967;43451;3675;8481
2020-08-14;Melilla;19;188;49;3;2
2020-08-14;Murcia;14;3339;797;124;149
2020-08-14;Navarra;15;7899;2141;146;532
2020-08-14;País Vasco;16;20479;7100;583;1566
